0Indice de poblacion 2010;2890151;15625084;367828;1055259;509108;3308876;992595;1235994;530162;673307;318951;333642;1738929;1101593;551266;638645;1214441;681055;432310;273964;3194537;874006;127205;1448188
0PGB (PBI) 2010;349366;595032;79861;52902;61584;338698;166609;178584;78310;33659;161473;26505;289781;75865;24630;46359;21392;103793;206424;66664;215903;24392;50971;106894
0PGB (PBI) 2010 per capita;120881,5733;38081,84327;217115,0646;50131,7686;120964,5105;102360,439;167851,9436;144486,1383;147709,568;49990,56894;506262,7175;79441,43723;166643,3765;68868,44778;44678,9753;72589,62334;17614,68857;152400,3201;477490,6896;243331,2406;67585,06788;27908,27523;400699,658;73812,23985
