;Indice de poblacion 2010;PGB (PBI) 2010;PGB (PBI) 2010 per capita;Variación de población relativa (%) 2001-2010;Población nacida en una provincia distinta;Con Cobertura de salud;Analfabetismo (%);Edad mediana de la población;Densidad de población(hab/km²);En viviendas colectivas( %);Percibe jubilación o pensión(%);En vivienda particulares no jub pension obra social prepaga o plan estatal(%);Sin descarga de agua o sin retrete(%);Población indígena o descendiente de pueblos indígenas u originarios(%);Viviendas deshabitadas(%);Pago total de la vivienda(%);Disponibilidad de Computadora (%);Disponibilidad de Heladera (%);Tamaño medio de los hogares;Hogares con teléfono de línea(%);Hogares con teléfono de línea ;Hogares sin teléfono de línea ;Total de hogares ;Hogares con teléfono celular(%);Hogares con teléfono celular ;Hogares sin teléfono celular ;Hogares con heladera(%);Hogares con heladera ;Hogares sin heladera ;Hogares con computadora(%);Hogares con computadora ;Hogares sin computadora ;Hogares con desagüe cloacal(%);Hogares con desagüe a cloaca ;Hogares sin desagüe a cloaca ;Hogares con instalación sanitaria con descarga de agua(%);Hogares con instalación sanitaria con descarga de agua ;Hogares propietarios de la vivienda y el terreno(%);Hogares propietarios de la vivienda y el terreno ;Hogares sin provisión de agua dentro de la vivienda(%);Hogares sin provisión de agua dentro de la vivienda ;Hogares con provisión de agua dentro de la vivienda ;Hogares con agua de red(%);Hogares con agua de red ;Hogares sin agua de red ;Viviendas habitadas por habitantes;Población en viviendas habitadas ;Viviendas habitadas;Porcentaje de viviendas habitadas(%);Viviendas particulares habitadas ;Viviendas particulares deshabitadas ;Población de tres años y más que utiliza computadora(%);Población de 3 años y más que utiliza computadora ;Población de 3 años y más;Población nacida en el extranjero(%);Población nacida en el extranjero América (países limítrofes) ;Población nacida en el extranjero América (países no limítrofes) ;Población nacida en el extranjero Europa ;Población nacida en el extranjero Asia ;Población nacida en el extranjero África;Población nacida en el extranjero Oceanía;Hogares que disponen de vivienda propia(%);Total de hogares que disponen de vivienda propia;Hogares propietarios de la vivienda y el terreno ;Hogares propietarios de la vivienda solamente ;Índice de dependencia de jóvenes(%);Población de 0 a 14 años;Población de 15 a 64 años;Índice de dependencia potencial(%);Población de 65 años y más ;Índice de dependencia de adultos mayores(%);Viviendas por habitantes;Población en viviendas particulares ;Viviendas particulares;Analfabetos ;Alfabetos ;Población de 10 años y más ;Variación intercensal de la población 2001-2010(%);Población de 65 años y más (%);Mujeres de 65 años y más(%);Varones de 65 años y más (%);Población de 15-64 años(%);Población de 15 a 64 ;Población de 0-14 años(%);Índice de masculinidad(%);Varones ;Mujeres ;Índice de envejecimiento(%);Índice envejecimiento mujeres(%);Índice envejecimiento varones(%);Relación de feminidad de la población de 65 años y más(%);Rel. feminidad población 65 a 74 años(%) ;Rel. feminidad población 75 años y más(%);Crecimiento medio anual de la población 2001-2010;Hogares con gas de red(%);Hogares con gas de red ;Hogares sin gas de red ;Programa Nacional de Emprendedores para el Desarrollo Sustentable;Cantidad de incendios totales 1994 0 2005 (km2);Cantidad de incendios totales 2006 0 2017 (km2);Cantidad de incendios totales 1994 0 2005;Cantidad de incendios totales 2006 0 2017;Superficie (km2);Areas naturales protegidas (km2);Areas naturales protegidas (%);Areas naturales protegidas (Cantidad)
La Pampa;318951;161473;506262,7175;6,6;22;67,7;1,9214;31;2,2;1,311487;95,547561;30,687379;3,170463;4,469521;21,26055;70,115415;47,684678;97,523079;2,9;49;52733;54941;107674;89,9;96785;10889;97,5;105007;2667;47,7;51344;56330;59;63572;44102;96,9;104385;71,2;76615;3,3;3575;104099;87,1;93772;13902;333;314749;104797;78,7;104797;28389;56,6;169509;299398;1,1;2073;691;593;70;18;2;72,1;77597;76615;982;38,9;79236;203922;56,4;35793;17,6;423;314749;133186;5032;261887;266919;6,6;11,2;12,6;9,8;63,9;203922;24,8;97,9;157797;161154;45,2;52;38,5;130,7;112,5;161;7,1;85,3;91838;15836;0;8008666,25;2776060,9;642;709;142440;1077,56;0,76;9
La Rioja;333642;26505;79441,43723;15,1;18,2;61,9;1,8614;26,6;3,7;0,733421;89,378715;36,150256;12,610591;1,213037;20,699383;75,132593;41,728048;90,551829;3,6;32,7;29752;61345;91097;85,1;77494;13603;90,6;82490;8607;41,7;38013;53084;51,1;46569;44528;87,4;79629;75,8;69060;14,4;13126;77971;93,7;85399;5698;261;331174;86367;79,3;86367;22600;50,2;157422;313730;1;2394;409;278;115;9;1;76,8;70008;69060;948;43;93101;216633;54;23908;11;329;331174;108967;4997;268449;273446;15,1;7,2;8;6,3;64,9;216633;27,9;98;165127;168515;25,7;29,2;22,2;128,5;113,8;153,9;15,8;13,7;12446;78651;1;506196;47825,6;186;1494;89680;6915;7,71;9
Mendoza;1738929;289781;166643,3765;10,1;10,5;63;2,2331;29,3;11,7;1,031785;94,026526;35,546757;9,89883;2,411932;14,557801;78,727923;43,421624;94,958785;3,5;48,4;239450;255391;494841;87,9;434787;60054;95;469895;24946;43,4;214868;279973;63,1;312446;182395;91,2;451490;62,6;309626;8,6;42715;452126;90,5;447752;47089;267;1720870;459550;85,4;459550;78506;52,2;849645;1627710;3,8;46556;9090;9369;446;77;81;64,7;320380;309626;10754;40;446011;1114540;56;178378;16;313;1720870;538056;31530;1411960;1443490;10,1;10,3;11,6;8,8;64,1;1114540;25,6;94,9;846831;892098;40;47,2;33,1;138;123,1;161,9;10,8;66,6;329565;165276;18;2290148,9;70993386,15;900;1587;149827;18255,97;12,18;19
Misiones;1101593;75865;68868,44778;14,1;7,2;56,4;4,2801;23,9;37;0,885354;90,070776;40,60338;33,69267;1,064993;12,033354;76,85996;28,440715;84,543807;3,6;27,8;84349;218604;302953;82,6;250149;52804;84,5;256128;46825;28,4;86162;216791;18,6;56283;246670;69,5;210415;67,6;204876;25,7;77832;225121;71,9;217858;85095;266;1091733;290263;87,9;290263;39786;37,9;387592;1022660;4;40660;696;2063;492;16;85;76,9;232822;204876;27946;53,2;358271;673982;63,4;69340;10,3;302;1091733;330049;35772;835783;871555;14,1;6,3;6,7;5,8;61,2;673982;32,5;98,8;547335;554258;19,4;21,2;17,5;116,8;107;135,2;14,9;0;0;302953;5;4416469,05;16040,26;4420;2554;29809;4678,71;15,7;72
Neuquén;551266;24630;44678,9753;16,3;27,8;65,3;2,3524;28,4;5,9;1,673058;89,240866;33,295067;8,618336;8,03792;17,692035;63,03081;53,028102;93,770324;3,2;46,4;78947;91110;170057;90,2;153467;16590;93,8;159463;10594;53;90178;79879;72,1;122660;47397;91,1;154963;64,9;110311;8,3;14065;155992;93,6;159198;10859;294;541984;159302;82,2;159302;34431;59,5;304141;511377;6,3;31680;1251;1567;101;38;18;68,5;116515;110311;6204;39,8;146617;368431;49,6;36218;9,8;357;541984;193733;10459;444609;455068;16,3;6,6;7,2;5,9;66,8;368431;26,6;98,5;273608;277658;24,7;27,9;21,6;124,6;110,2;153,6;17;84,8;144184;25873;0;2286396003;964049840;1779;1600;94078;24394,54;25,93;17
Río Negro;638645;46359;72589,62334;15,5;25,3;65,6;2,5236;29,3;3,1;1,954294;91,609031;32,908454;10,424632;7,315572;19,382696;74,570339;48,917862;93,894241;3,1;43,3;86185;113004;199189;89,6;178396;20793;93,9;187027;12162;48,9;97439;101750;61,1;121677;77512;89,6;178551;64,3;128043;9,1;18084;181105;92,1;183359;15830;304;626142;190597;80,6;190597;46012;58,3;346471;593944;7,4;41444;1291;4098;350;42;29;67,9;135298;128043;7255;39,6;165714;418594;52,6;54337;13;378;626142;236609;13080;518307;531387;15,5;8,5;9,3;7,7;65,5;418594;25,9;98,4;316774;321871;32,8;37,1;28,7;123,8;110;148,4;16,3;81;161359;37830;1;3463784330;3335256810;16679;14201;204013;41055,66;20,12;14
Salta;1214441;21392;17614,68857;12,5;9,4;52,4;3,2374;24,9;7,8;0,965712;92,062806;44,835769;25,353174;6,182103;15,227843;69,56548;32,558023;81,68976;4;34,8;104224;195570;299794;78,8;236131;63663;81,7;244901;54893;32,6;97607;202187;62,1;186151;113643;76;227923;65,7;197094;23,6;70637;229157;91,2;273466;26328;222;1202595;267075;84,7;267075;48111;39,9;449968;1128942;2,3;24848;931;1896;386;50;21;72,4;216978;197094;19884;50,4;378596;750903;61,7;84942;11,3;262;1202595;315186;30367;938009;968376;12,5;7;7,6;6,4;61,8;750903;31,2;96,7;597153;617288;22,4;25,2;19,7;123,5;112,6;142,4;13,3;41,8;125294;174500;9;377343;114231444,9;9107;7897;151488;27396,57;18,08;24
San Juan;681055;103793;152400,3201;9,8;6,5;56;2,1354;27,6;7,6;1,126634;91,083761;41,635712;13,588184;1,194976;13,999238;62,541144;36,8457;93,268042;3,8;37,3;66106;111049;177155;85,6;151720;25435;93,3;165229;11926;36,8;65274;111881;29,5;52253;124902;87,7;155334;65,8;116649;12;21207;155948;93,2;165174;11981;241;673335;162204;86;162204;26451;44,4;281646;634328;0,9;3427;683;1766;111;21;13;68,4;121214;116649;4565;45,9;195588;426265;59,8;59202;13,9;280;673335;188655;11493;538225;549718;9,8;8,7;9,8;7,5;62,6;426265;28,7;95,8;333228;347827;30,3;35,6;25,1;136,8;125;157,8;10,6;50,6;89633;87522;5;8657,5;41877,75;2388;3998;89851;24429,42;27,19;16
San Luis;432310;206424;477490,6896;17,5;25,9;60,4;1,8746;28,5;5,6;0,878536;92,716873;38,166366;9,384904;1,847132;17,05734;60,528818;56,236114;93,853705;3,4;40,7;51713;75209;126922;88;111748;15174;93,9;119121;7801;56,2;71376;55546;60,2;76407;50515;91,4;116063;70,4;89378;8,6;10928;115994;94,5;119989;6933;275;428486;117766;82,9;117766;24283;61,7;250366;405929;1,3;3810;757;872;102;9;6;71,7;90969;89378;1591;43,9;120466;274175;57,7;37669;13,7;332;428486;142049;6512;347388;353900;17,5;8,7;9,8;7,6;63,4;274175;27,9;97,5;213407;218903;31,3;36;26,6;131,8;116,2;160,1;18,2;53,1;67437;59485;1;1285480,2;896615;366;730;76748;4261,09;5,55;15
Santa Cruz;273964;66664;243331,2406;39,1;43,5;83,1;1,1417;27,4;1,1;3,300799;85,233296;16,52067;4,140511;3,586627;18,688184;63,608849;63,78796;94,696562;3,2;48,9;40007;41789;81796;93,3;76324;5472;94,7;77458;4338;63,8;52176;29620;82,4;67423;14373;95,3;77923;59,1;48327;3,7;3041;78755;97,2;79491;2305;288;264919;76233;81,2;76233;17648;69,5;172826;248848;9,5;23340;1001;1582;82;14;22;61,4;50225;48327;1898;42,2;77004;182400;50,2;14560;8;354;264919;93881;2504;219320;221824;39,1;5,3;5,9;4,7;66,6;182400;28,1;106,2;141087;132877;18,9;20,8;17,1;117,6;108,2;137,4;37,6;94,6;77386;4410;1;108136376;316259916,6;274;241;244943;18493,93;7,55;36
Santa Fe;3194537;215903;67585,06788;6,5;12,9;68,3;1,8102;31;24;0,898722;95,343907;29,921354;12,332682;1,48123;17,051176;86,66449;47,584386;95,869804;3,1;60;614114;409663;1023777;86;879999;143778;95,9;981493;42284;47,6;487158;536619;50,3;514822;508955;89,9;920169;69,1;707444;8,9;91344;932433;84,4;864206;159571;300;3165670;948369;82,9;948369;195282;53,9;1628202;3020289;1,2;16527;6956;12625;1143;73;108;73,2;749418;707444;41974;36;746051;2072165;54,2;376321;18,2;361;3165670;1143651;48095;2656886;2704981;6,5;11,8;13,8;9,6;64,9;2072165;23,4;94;1547861;1646676;50,4;61,9;39,4;152;127,5;189,4;7;48,2;493602;530175;21;454642,5;24929701,5;6778;14233;133197;8996,61;6,75;28
Santiago del Estero;874006;24392;27908,27523;8,6;9,5;44,1;4,1663;25;6,4;0,637639;93,271945;52,71296;42,914707;1,3411;18,202593;74,686918;23,437221;82,268089;4;26,1;56910;161115;218025;82,2;179277;38748;82,3;179365;38660;23,4;51099;166926;21,9;47704;170321;60,3;131409;79,9;174177;41,3;89947;128078;75,8;165350;52675;228;868355;197906;81,8;197906;44128;30,2;246679;816152;0,3;1097;972;605;195;13;2;86,2;188045;174177;13868;52,1;276468;530403;64,8;67135;12,7;279;868355;242034;27870;668946;696816;8,6;7,7;8,5;6,8;60,7;530403;31,6;98;432632;441374;24,3;27,6;21,1;127,9;112,6;154,4;9,3;21,2;46165;171860;3;123738,8;11064669;179;1335;136351;2051,19;1,5;4
Tierra del Fuego, Antártida e Islas del Atlántico Sur;127205;50971;400699,658;25,8;61,6;78,5;0,6817;28;0,1;2,464526;75,071256;21,088883;4,178221;2,773563;15,307832;68,064331;73,7088;95,407639;3,2;55,1;21468;17488;38956;96,5;37612;1344;95,4;37167;1789;73,7;28714;10242;89,3;34769;4187;95,5;37202;55,7;21703;5,2;2015;36941;94,2;36694;2262;296;124048;36689;84,6;36689;6671;78,4;91916;117213;8,9;9680;734;789;69;10;17;65,6;25545;21703;3842;39,8;34844;87504;45,4;4857;5,6;350;124048;43360;705;103421;104126;25,8;3,8;4,3;3,4;68,8;87504;27,4;105,3;65255;61950;13,9;15,7;12,2;121,2;105,8;162,6;26;90,6;35280;3676;7;90218724279;1,31456E+12;257;304;21571;2947,21;13,66;11
Tucumán;1448188;106894;73812,23985;8,2;7,6;63,5;2,5259;27,3;64,3;0,505321;93,055014;34,327432;18,923417;1,394849;15,190362;79,894787;33,769652;92,047767;3,9;41,6;153196;215342;368538;82,7;304904;63634;92;339231;29307;33,8;124454;244084;46,6;171573;196965;82,1;302521;70,5;259720;19,4;71349;297189;88,8;327445;41093;233;1440818;335821;84,8;335821;60219;41,2;561639;1362943;0,6;4452;1739;1631;334;18;19;77,7;286306;259720;26586;44,1;407633;924258;56,7;116297;12,6;275;1440818;396040;29154;1154200;1183354;8,2;8;9,1;6,9;63,8;924258;28,1;95,5;707387;740801;28,5;33,6;23,6;138,2;121,9;165;8,8;40;147292;221246;3;29234,74;17170,8;381;2610;22524;4928,07;21,88;14
